LeetCode No,,Question Name,,Concept,,date,,platform,level
876,,Middle of  the linked List,,LinkedList,,3 02 2025,,Leetcode,Easy
234,,Palindrome linked list,,LinkedList,,3 02 2025,,Leetcode,Easy
997,,Find the town edge,,Graph,,2 02 2025,,Leetcode,Easy
547,,Number of Provinces,,Graph,,1 02 2025,,Leetcode,Medium
39,,Combination Sum,,Recursion,,30 01 2025,,Leetcode,Medium
78,,Subsets,,Recursion,,30 01 2025,,Leetcode,Medium
561,,Array Partition,,Array,,28 01 2025,,Leetcode,Easy
141,,Linked List Cycle,,"LinkedList,map",,4 02 2025,,Leetcode,Easy
148,,Sort Linked List,,linkedList,,5 02 2025,,Leetcode,Medium
2,Add two number,,,LinkedList,,5 02 2025,,Leetcode,Medium
3151,Special Array1,,,Array,6 02 2025,6 02 2025,,Leetcode,Easy
2095,,Delete the Middle Node of a linkedList,,LinkedList,,7 02 2025,,Leetcode,Easy
203,,Remove Linked List Elements,,LinkedList,,4 01 2025,,Leetcode,Easy
35,,Search Insert Position,,Array,,6 01 2025,,Leetcode,Easy
137,,Single Number 2,,"Array,Map",,7 02 2025,,Leetcode,Medium
136,,Single Number ,,"Array,Map",,7 02 2025,,Leetcode,Easy
905,,Sort Array By Parity,,Array,,18 02 2025,,Leetcode,Easy
88,,Merge Sorted Array,,Array,,18 02 2025,,Leetcode,Easy
1752,,Check if Array Is Sorted and Rotated,,Array,,13 02 2025,,Leetcode,Easy
9,Pal,Palindrome Number,,iterating,,23 02 2025,,Leetcode,Easy
7,,Reverse Integer,,iterating,,23 02 2025,,Leetcode,Medium
697,,Degree of Array,,Array,,22 02 2023,,Leetcode,Easy
3,,Longest Substring without reapeating Character,,"String,Hashing",,22 02 2025,,Leetcode,Medium
1423,,Maximum Pionts you can obatin From,,"Array,Sliding Window",,19 02 2025,,Leetcode,Medium
